#         t          x          y          z         vx         vy         vz
      8.010     319.622    -196.216      50.517     -82.532     -13.572     -53.206
      8.020     318.794    -196.350      49.984     -82.949     -13.315     -53.272
      8.030     317.963    -196.482      49.451     -83.367     -13.058     -53.338
      8.040     317.127    -196.612      48.918     -83.786     -12.798     -53.404
      8.050     316.287    -196.738      48.383     -84.206     -12.537     -53.469
      8.060     315.443    -196.862      47.848     -84.627     -12.275     -53.533
      8.070     314.595    -196.984      47.312     -85.049     -12.011     -53.598
      8.080     313.742    -197.102      46.776     -85.473     -11.745     -53.661
      8.090     312.885    -197.219      46.239     -85.897     -11.478     -53.725
      8.100     312.024    -197.332      45.702     -86.323     -11.210     -53.788
      8.110     311.159    -197.443      45.163     -86.749     -10.939     -53.851
      8.120     310.289    -197.551      44.625     -87.177     -10.667     -53.913
      8.130     309.415    -197.656      44.085     -87.606     -10.394     -53.975
      8.140     308.537    -197.759      43.545     -88.036     -10.119     -54.037
      8.150     307.654    -197.859      43.005     -88.467      -9.842     -54.098
      8.160     306.768    -197.956      42.463     -88.900      -9.563     -54.158
      8.170     305.876    -198.050      41.921     -89.333      -9.283     -54.219
      8.180     304.981    -198.141      41.379     -89.768      -9.001     -54.279
      8.190     304.081    -198.230      40.836     -90.204      -8.717     -54.338
      8.200     303.177    -198.316      40.292     -90.641      -8.432     -54.397
      8.210     302.268    -198.398      39.748     -91.080      -8.144     -54.455
      8.220     301.355    -198.478      39.203     -91.519      -7.855     -54.514
      8.230     300.438    -198.556      38.658     -91.960      -7.565     -54.571
      8.240     299.516    -198.630      38.112     -92.403      -7.272     -54.628
      8.250     298.590    -198.701      37.565     -92.846      -6.977     -54.685
      8.260     297.659    -198.769      37.018     -93.291      -6.681     -54.741
      8.270     296.724    -198.835      36.470     -93.737      -6.382     -54.797
      8.280     295.784    -198.897      35.922     -94.184      -6.082     -54.852
      8.290     294.840    -198.956      35.373     -94.633      -5.780     -54.907
      8.300     293.892    -199.012      34.824     -95.082      -5.476     -54.961
      8.310     292.939    -199.066      34.274     -95.534      -5.170     -55.015
      8.320     291.981    -199.116      33.724     -95.986      -4.862     -55.068
      8.330     291.019    -199.163      33.173     -96.440      -4.552     -55.121
      8.340     290.052    -199.207      32.621     -96.896      -4.239     -55.173
      8.350     289.081    -199.248      32.069     -97.352      -3.925     -55.224
      8.360     288.105    -199.285      31.517     -97.810      -3.609     -55.276
      8.370     287.125    -199.320      30.964     -98.270      -3.290     -55.326
      8.380     286.140    -199.351      30.410     -98.731      -2.970     -55.376
      8.390     285.150    -199.379      29.856     -99.193      -2.647     -55.425
      8.400     284.156    -199.404      29.302     -99.657      -2.322     -55.474
      8.410     283.157    -199.426      28.747    -100.122      -1.995     -55.523
      8.420     282.153    -199.444      28.191    -100.589      -1.666     -55.570
      8.430     281.145    -199.459      27.635    -101.057      -1.334     -55.617
      8.440     280.132    -199.471      27.079    -101.527      -1.000     -55.664
      8.450     279.115    -199.479      26.522    -101.998      -0.664     -55.710
      8.460     278.092    -199.484      25.965    -102.471      -0.326     -55.755
      8.470     277.065    -199.485      25.407    -102.945       0.015     -55.799
      8.480     276.033    -199.484      24.849    -103.421       0.358     -55.843
      8.490     274.997    -199.478      24.290    -103.898       0.704     -55.886
      8.500     273.955    -199.470      23.731    -104.377       1.052     -55.929
      8.510     272.909    -199.457      23.171    -104.858       1.403     -55.971
      8.520     271.858    -199.441      22.611    -105.340       1.756     -56.012
      8.530     270.802    -199.422      22.051    -105.824       2.111     -56.053
      8.540     269.742    -199.399      21.490    -106.309       2.469     -56.092
      8.550     268.676    -199.373      20.929    -106.796       2.830     -56.132
      8.560     267.606    -199.343      20.368    -107.285       3.193     -56.170
      8.570     266.530    -199.309      19.806    -107.775       3.559     -56.207
      8.580     265.450    -199.271      19.244    -108.267       3.928     -56.244
      8.590     264.365    -199.230      18.681    -108.761       4.299     -56.280
      8.600     263.275    -199.185      18.118    -109.257       4.674     -56.316
      8.610     262.180    -199.137      17.555    -109.754       5.051     -56.350
      8.620     261.080    -199.084      16.991    -110.253       5.430     -56.384
      8.630     259.975    -199.028      16.427    -110.754       5.813     -56.417
      8.640     258.865    -198.968      15.863    -111.256       6.198     -56.449
      8.650     257.750    -198.904      15.298    -111.761       6.587     -56.480
      8.660     256.630    -198.836      14.733    -112.267       6.978     -56.510
      8.670     255.504    -198.765      14.168    -112.775       7.373     -56.540
      8.680     254.374    -198.689      13.602    -113.285       7.770     -56.568
      8.690     253.239    -198.609      13.037    -113.796       8.171     -56.596
      8.700     252.098    -198.525      12.470    -114.310       8.574     -56.623
      8.710     250.953    -198.438      11.904    -114.825       8.981     -56.649
      8.720     249.802    -198.346      11.337    -115.343       9.391     -56.673
      8.730     248.646    -198.250      10.771    -115.862       9.804     -56.697
      8.740     247.484    -198.150      10.204    -116.384      10.221     -56.720
      8.750     246.318    -198.045       9.636    -116.907      10.640     -56.742
      8.760     245.146    -197.937       9.069    -117.432      11.064     -56.763
      8.770     243.969    -197.824       8.501    -117.959      11.490     -56.783
      8.780     242.787    -197.707       7.933    -118.489      11.920     -56.801
      8.790     241.600    -197.586       7.365    -119.020      12.354     -56.819
      8.800     240.407    -197.460       6.797    -119.553      12.791     -56.836
      8.810     239.208    -197.330       6.228    -120.089      13.232     -56.851
      8.820     238.005    -197.195       5.660    -120.626      13.676     -56.865
      8.830     236.796    -197.056       5.091    -121.166      14.124     -56.878
      8.840     235.582    -196.913       4.522    -121.708      14.576     -56.890
      8.850     234.362    -196.765       3.953    -122.251      15.032     -56.901
      8.860     233.137    -196.612       3.384    -122.798      15.491     -56.911
      8.870     231.906    -196.455       2.815    -123.346      15.955     -56.919
      8.880     230.670    -196.293       2.246    -123.896      16.422     -56.926
      8.890     229.428    -196.126       1.676    -124.449      16.893     -56.931
      8.900     228.181    -195.955       1.107    -125.004      17.369     -56.935
      8.910     226.928    -195.779       0.538    -125.561      17.849     -56.938
      8.920     225.669    -195.598      -0.032    -126.121      18.332     -56.939
      8.930     224.405    -195.412      -0.601    -126.682      18.820     -56.938
      8.940     223.136    -195.222      -1.170    -127.246      19.313     -56.935
      8.950     221.860    -195.026      -1.740    -127.813      19.810     -56.930
      8.960     220.579    -194.826      -2.309    -128.382      20.311     -56.924
      8.970     219.293    -194.620      -2.878    -128.953      20.816     -56.916
      8.980     218.000    -194.409      -3.447    -129.526      21.327     -56.907
      8.990     216.702    -194.193      -4.016    -130.102      21.842     -56.896
      9.000     215.398    -193.972      -4.585    -130.681      22.361     -56.884
      9.010     214.089    -193.746      -5.154    -131.262      22.886     -56.869
      9.020     212.773    -193.515      -5.723    -131.845      23.415     -56.853
      9.030     211.452    -193.278      -6.291    -132.431      23.949     -56.836
      9.040     210.124    -193.036      -6.859    -133.019      24.488     -56.816
      9.050     208.791    -192.788      -7.427    -133.610      25.032     -56.795
      9.060     207.452    -192.535      -7.995    -134.204      25.582     -56.772
      9.070     206.107    -192.276      -8.563    -134.800      26.136     -56.747
      9.080     204.756    -192.012      -9.130    -135.398      26.696     -56.720
      9.090     203.399    -191.742      -9.697    -136.000      27.262     -56.691
      9.100     202.036    -191.467     -10.264    -136.603      27.832     -56.660
      9.110     200.667    -191.186     -10.830    -137.210      28.409     -56.627
      9.120     199.292    -190.899     -11.396    -137.819      28.991     -56.592
      9.130     197.911    -190.606     -11.962    -138.431      29.578     -56.554
      9.140     196.523    -190.307     -12.528    -139.046      30.172     -56.515
      9.150     195.130    -190.002     -13.093    -139.663      30.772     -56.473
      9.160     193.730    -189.692     -13.657    -140.283      31.377     -56.429
      9.170     192.324    -189.375     -14.221    -140.906      31.989     -56.383
      9.180     190.912    -189.052     -14.785    -141.532      32.607     -56.334
      9.190     189.493    -188.723     -15.348    -142.161      33.231     -56.283
      9.200     188.069    -188.387     -15.910    -142.792      33.862     -56.229
      9.210     186.638    -188.045     -16.472    -143.427      34.499     -56.173
      9.220     185.200    -187.697     -17.034    -144.064      35.143     -56.114
      9.230     183.756    -187.342     -17.595    -144.704      35.794     -56.053
      9.240     182.306    -186.981     -18.155    -145.347      36.451     -55.988
      9.250     180.849    -186.613     -18.714    -145.993      37.116     -55.921
      9.260     179.386    -186.239     -19.273    -146.642      37.787     -55.851
      9.270     177.916    -185.858     -19.831    -147.294      38.466     -55.778
      9.280     176.440    -185.470     -20.389    -147.949      39.153     -55.703
      9.290     174.958    -185.075     -20.945    -148.607      39.846     -55.624
      9.300     173.468    -184.673     -21.501    -149.268      40.548     -55.541
      9.310     171.972    -184.264     -22.056    -149.932      41.257     -55.456
      9.320     170.469    -183.847     -22.610    -150.599      41.974     -55.367
      9.330     168.960    -183.424     -23.164    -151.269      42.699     -55.275
      9.340     167.444    -182.993     -23.716    -151.942      43.432     -55.180
      9.350     165.921    -182.555     -24.267    -152.618      44.174     -55.081
      9.360     164.392    -182.110     -24.817    -153.298      44.924     -54.978
      9.370     162.855    -181.657     -25.367    -153.981      45.683     -54.871
      9.380     161.312    -181.196     -25.915    -154.666      46.451     -54.761
      9.390     159.762    -180.728     -26.462    -155.355      47.227     -54.647
      9.400     158.205    -180.252     -27.008    -156.047      48.013     -54.529
      9.410     156.641    -179.767     -27.552    -156.743      48.808     -54.406
      9.420     155.070    -179.275     -28.096    -157.441      49.612     -54.280
      9.430     153.492    -178.775     -28.638    -158.143      50.426     -54.149
      9.440     151.907    -178.267     -29.179    -158.847      51.250     -54.013
      9.450     150.315    -177.750     -29.718    -159.555      52.084     -53.873
      9.460     148.716    -177.225     -30.256    -160.266      52.928     -53.728
      9.470     147.110    -176.691     -30.793    -160.981      53.783     -53.579
      9.480     145.496    -176.149     -31.328    -161.698      54.648     -53.424
      9.490     143.876    -175.598     -31.861    -162.419      55.524     -53.265
      9.500     142.248    -175.039     -32.393    -163.143      56.412     -53.100
      9.510     140.613    -174.470     -32.923    -163.870      57.310     -52.930
      9.520     138.971    -173.893     -33.452    -164.600      58.220     -52.754
      9.530     137.321    -173.306     -33.978    -165.334      59.141     -52.573
      9.540     135.664    -172.710     -34.503    -166.070      60.075     -52.386
      9.550     134.000    -172.104     -35.026    -166.810      61.021     -52.192
      9.560     132.328    -171.489     -35.547    -167.552      61.979     -51.993
      9.570     130.649    -170.865     -36.066    -168.298      62.950     -51.788
      9.580     128.962    -170.230     -36.583    -169.047      63.933     -51.575
      9.590     127.268    -169.586     -37.097    -169.799      64.930     -51.357
      9.600     125.566    -168.931     -37.610    -170.553      65.941     -51.131
      9.610     123.856    -168.267     -38.120    -171.311      66.965     -50.898
      9.620     122.140    -167.592     -38.628    -172.071      68.003     -50.658
      9.630     120.415    -166.907     -39.133    -172.835      69.056     -50.410
      9.640     118.683    -166.211     -39.636    -173.601      70.123     -50.155
      9.650     116.943    -165.504     -40.136    -174.370      71.206     -49.892
      9.660     115.195    -164.787     -40.634    -175.141      72.303     -49.620
      9.670     113.440    -164.058     -41.128    -175.915      73.417     -49.341
      9.680     111.677    -163.318     -41.620    -176.692      74.546     -49.052
      9.690     109.906    -162.567     -42.109    -177.470      75.691     -48.754
      9.700     108.128    -161.804     -42.595    -178.252      76.853     -48.448
      9.710     106.341    -161.030     -43.078    -179.035      78.032     -48.131
      9.720     104.547    -160.244     -43.558    -179.820      79.229     -47.805
      9.730     102.745    -159.445     -44.034    -180.608      80.443     -47.469
      9.740     100.935    -158.635     -44.507    -181.397      81.676     -47.122
      9.750      99.117    -157.812     -44.977    -182.188      82.927     -46.765
      9.760      97.291    -156.976     -45.443    -182.980      84.197     -46.396
      9.770      95.457    -156.128     -45.905    -183.774      85.486     -46.016
      9.780      93.616    -155.266     -46.363    -184.569      86.795     -45.624
      9.790      91.766    -154.392     -46.817    -185.365      88.124     -45.220
      9.800      89.908    -153.504     -47.267    -186.161      89.475     -44.803
      9.810      88.043    -152.602     -47.713    -186.958      90.846     -44.374
      9.820      86.169    -151.687     -48.155    -187.756      92.239     -43.930
      9.830      84.288    -150.757     -48.592    -188.553      93.654     -43.473
      9.840      82.398    -149.813     -49.024    -189.351      95.092     -43.002
      9.850      80.501    -148.855     -49.452    -190.148      96.553     -42.515
      9.860      78.595    -147.882     -49.874    -190.943      98.037     -42.013
      9.870      76.682    -146.894     -50.292    -191.738      99.546     -41.496
      9.880      74.760    -145.891     -50.704    -192.531     101.079     -40.962
      9.890      72.831    -144.873     -51.111    -193.323     102.638     -40.411
      9.900      70.894    -143.838     -51.512    -194.111     104.223     -39.842
      9.910      68.949    -142.788     -51.908    -194.897     105.834     -39.255
      9.920      66.996    -141.722     -52.297    -195.680     107.472     -38.649
      9.930      65.035    -140.638     -52.680    -196.459     109.137     -38.024
      9.940      63.067    -139.539     -53.058    -197.233     110.831     -37.379
      9.950      61.091    -138.422     -53.428    -198.003     112.554     -36.713
      9.960      59.107    -137.287     -53.792    -198.767     114.306     -36.025
      9.970      57.115    -136.135     -54.148    -199.524     116.088     -35.315
      9.980      55.116    -134.965     -54.498    -200.275     117.901     -34.582
      9.990      53.110    -133.777     -54.840    -201.017     119.745     -33.824
     10.000      51.096    -132.570     -55.174    -201.751     121.621     -33.042
     10.010      49.075    -131.345     -55.501    -202.476     123.530     -32.234
