snapshot,time_Myr,exp_I0,exp_r_d,sersic_I0,sersic_re,sersic_n
0,0.0,4336.256938578956,0.38722673279387565,184.05065369161736,1.446676424610108,3.0280692261036384
1,14.2857,4497.670888991209,0.3794232364933364,180.5341469152874,1.4537765125102364,3.172566700129921
2,28.57142,4599.053273032798,0.37174102462021463,145.25442236147873,1.624308476732028,3.612346951407136
3,42.85712,4633.756685947468,0.37098341428441867,162.22511329522598,1.5266185883554086,3.457996027475904
4,57.14285,4541.863029692012,0.3768057029741292,193.90694748968966,1.3908282377821317,3.0985428688957377
5,71.42857,4603.858701010399,0.37239093436270804,184.7731665695112,1.41982521081899,3.2267687337332274
6,85.71427,4746.067645287393,0.3613021617326942,103.95844564034998,1.9299719726954225,4.32817553212611
7,99.99999,4810.621326248999,0.36038685039739665,113.08606432515866,1.8458462893498746,4.226151961727916
8,114.28571,5028.929605854786,0.3496102634724417,79.82087356826759,2.2122343413170027,5.093790293718122
9,128.57141,5144.10664687794,0.3450469433787222,86.79320241357519,2.0944087764937143,5.083952047264188
10,142.85713,4789.911237465446,0.3647864862883342,179.75086261932174,1.434347833316903,3.410107267832618
11,157.14286,4978.861777676211,0.35292228194699415,127.96572737830364,1.6999798067646927,4.1993221685644295
12,171.42856,4954.456807008188,0.3546487186083576,146.5109179541381,1.5800507366609358,3.932859981991938
13,185.71428,4935.71409560811,0.35444089586477623,134.56161544108474,1.6542661031343764,4.072102247009922
14,199.99998,5051.836101177975,0.34705780444976575,94.61213498073928,1.9887108621066565,4.8598572143069845
15,214.2857,4984.424648598451,0.35430905386609474,163.49492411241457,1.4878594373404586,3.7598276137484805
16,228.57142,4488.261562626156,0.3843404952335151,286.4637701350634,1.1350353848263999,2.4506648322671674
17,242.85712,4648.608505307443,0.37002458945341893,176.8463238322722,1.451743858387968,3.3318498464580464
18,257.14285,5016.3361034555755,0.3513532733053885,120.46644835660959,1.758090454269172,4.3334817533799
19,271.42857,5038.634452070187,0.35451475041198593,160.41573892311584,1.5147792532847644,3.8066752238656134
20,285.71427,4953.3825877764775,0.35574079919192925,127.5015238061052,1.7194468508910137,4.145948037021108
21,299.99999,4975.004446204707,0.35478948339297,152.37061614046058,1.5512572972301224,3.8637252424409354
22,314.28571,4971.976905126096,0.35432345916005437,155.9025417525604,1.527174653457695,3.83311655396195
23,328.57141,5310.036415402124,0.3381556518570532,95.82890332932418,1.9514374163392005,5.142825246441568
24,342.85714,5241.577451726312,0.3430253105927929,133.8220024504123,1.6368729991194932,4.393064544541263
25,357.14286,5387.819320259208,0.33376416697750966,64.7202993443092,2.4098682272535403,6.048497248374996
26,371.42856,5413.3578441889285,0.33792072627014724,159.47955577794602,1.4781425648546458,4.227196132474324
27,385.71428,5158.891626402109,0.34723036788382755,154.24784515222112,1.5234804108555269,4.03180540403108
28,399.99998,5020.450360391405,0.3548910578902775,189.279455761179,1.377799679745422,3.5172462368843354
29,414.2857,5074.4572759176845,0.3543820736685424,195.48776870033163,1.3584094350569789,3.4872942592299623
30,428.57142,5313.86996173757,0.33843526641943283,78.03009814284111,2.198725901354674,5.515550975842068
31,442.85712,5103.658441917387,0.3516473700836938,187.25660213637127,1.3822770653814047,3.602099820261726
32,457.14285,5059.767301562452,0.3530386750259722,168.0385079939246,1.4701868292261973,3.755433085631402
33,471.42857,4837.672560060464,0.3635687570942597,191.37958942899476,1.3863356150956456,3.3345521762564365
34,485.71427,4942.108919673576,0.3599651216712506,194.93962925012866,1.3690619127568253,3.3825795738495485
35,499.99999,5263.771075770959,0.3435841023791193,125.05659079030454,1.7102290369255113,4.507432218587732
36,514.28571,5064.745920508877,0.3533155449672393,181.54740945015834,1.409506972315193,3.621348396539637
37,528.57141,5352.099464944953,0.3398822540009765,134.64785324668932,1.6300462336640436,4.476597089720664
38,542.85714,4970.266269432934,0.35729619208056806,185.03515348979198,1.400369004750942,3.5098936383450114
39,557.14284,5262.310560666894,0.3438142777474291,152.93491589119435,1.527231323975129,4.138185866475267
40,571.42856,5211.4426148711555,0.3457155275309284,143.28204823599484,1.5882739151209693,4.20474216315388
41,585.71428,5247.792071149428,0.34382995517586246,132.51569170027918,1.6535777331971064,4.393385071099469
42,599.99998,5207.603632041655,0.34788824306395694,189.70295290522196,1.3668040260948535,3.670829043963705
43,614.2857,5272.254559389325,0.34477092826721123,164.20792522988825,1.4736489246704783,4.001452569995853
44,628.57143,5224.390822590474,0.3458642165701785,162.55192015075454,1.4824829967477924,3.9774768150298
45,642.85713,5099.81136605415,0.35191683990805517,174.982689819107,1.437222359047712,3.7138916399830015
46,657.14285,5093.072811644575,0.3538814152227496,197.61896203531043,1.3508888188542996,3.4784507214411957
47,671.42857,5182.396801974387,0.34876280692268735,165.06096219747576,1.480268006368492,3.8897944315467674
