galaxy,snapshot,time_Myr,ptype,xcom,ycom,zcom,vxcom,vycom,vzcom
MW,000,0.0,1,-0.5006201220374269,1.3967595409122806,-1.0406430025587137,-3.013470849075975,8.105054526694047,0.8122260564681721
MW,000,0.0,2,-2.083555765957447,2.958140429759053,-1.4539899191207553,0.5283395301649081,8.262090415086785,-1.6582357177151075
MW,000,0.0,3,-2.0086426037921346,2.4603973092295344,-1.3010654680036116,-3.0305043428446585,8.423495257264586,-1.1685948162551894
MW,001,14.2857,1,-0.6091598425805393,1.4712406216890557,-1.2358780084499474,-4.51227645932377,9.009962290471316,1.5991346581967227
MW,001,14.2857,2,-1.9215200407297386,2.894509889553366,-1.4441443191648953,0.6431641302924661,7.877828930383475,-0.5266426930736717
MW,001,14.2857,3,-1.9998638834672953,2.607693600405297,-1.305006455615971,2.6290549410170456,8.790416865131121,-0.29140197827797193
MW,002,28.57142,1,-1.087383126020005,2.1846314113212375,-1.5860689181453824,-5.824723168580378,6.879644637787059,-1.4068159832985385
MW,002,28.57142,2,-1.9091295472498007,2.946490890614081,-1.4510289909201366,1.1623743040999257,7.167788603652043,-0.950431398218611
MW,002,28.57142,3,-1.9449773930144463,2.700415353553371,-1.342166606378772,3.9509769376174866,3.1469558566120233,-0.6175894787103823
MW,003,42.85712,1,-0.5901697564529939,1.7382553557144536,-1.3443943669504206,-10.450900405578517,5.928621371900827,3.201461527892564
MW,003,42.85712,2,-1.8908197898690036,2.988118895778908,-1.4620936728970475,-0.3836286098365802,5.825118118459359,-1.4286568767971561
MW,003,42.85712,3,-1.8783602040830658,2.7380320661717494,-1.3528583541813803,4.032274373588622,-2.317449892516412,-0.9557484457155364
MW,004,57.14285,1,-1.2297647350828083,2.3815030267623047,-1.7215291108000934,-7.520062945015108,4.829474938569991,0.8351039577039284
MW,004,57.14285,2,-1.8768089182231993,3.009626979356343,-1.4688655935864527,0.20963276713896753,7.732162187159425,-0.982094604315161
MW,004,57.14285,3,-1.8447021740088283,2.738016572924759,-1.3560336418980738,-0.33553445473061766,-4.0045909294787565,0.33735522566798065
MW,005,71.42857,1,-0.7605437351971066,2.018667687494143,-1.5495056016600284,-2.006482639583333,4.757372551354167,-1.4837756583333337
MW,005,71.42857,2,-1.8444562291236544,3.0485334754801183,-1.4765571910549289,-0.6439751789601373,6.911294556483015,-0.7848519563276385
MW,005,71.42857,3,-1.856365158024077,2.743745947882223,-1.3719579485714286,-1.2006817301514157,-1.370117273732719,1.0567525138687741
MW,006,85.71427,1,-0.7614461880597884,2.0941495005093786,-1.4989176075322395,-0.17660023263816454,1.1704635643587085,0.263855450698645
MW,006,85.71427,2,-1.8107055655448039,3.0356987249997034,-1.4727502316221777,-1.2345665124835135,6.004255286862865,-1.5938029196270587
