# snap  time[Myr]  R_bin(kpc)  warp[deg]  h_z[kpc]
160    2285.71   30.07     nan      nan
160    2285.71   33.61     nan      nan
161    2300.00    1.75  112.86    0.420
161    2300.00    5.26  113.51    0.653
161    2300.00    8.77  112.21    0.940
161    2300.00   12.28  109.69    1.594
161    2300.00   15.78   95.53    4.171
161    2300.00   19.29     nan      nan
161    2300.00   22.80     nan      nan
161    2300.00   26.31     nan      nan
161    2300.00   29.81     nan      nan
161    2300.00   33.32     nan      nan
162    2314.29    1.74  112.61    0.415
162    2314.29    5.21  113.63    0.642
162    2314.29    8.68  112.12    0.959
162    2314.29   12.15  110.32    1.551
162    2314.29   15.63   96.94    3.925
162    2314.29   19.10     nan      nan
162    2314.29   22.57     nan      nan
162    2314.29   26.05     nan      nan
162    2314.29   29.52     nan      nan
162    2314.29   32.99     nan      nan
163    2328.57    1.72  112.70    0.410
163    2328.57    5.15  113.29    0.656
163    2328.57    8.58  112.35    0.924
163    2328.57   12.02  110.31    1.632
163    2328.57   15.45   99.58    3.580
163    2328.57   18.88     nan      nan
163    2328.57   22.32     nan      nan
163    2328.57   25.75     nan      nan
163    2328.57   29.18     nan      nan
163    2328.57   32.62     nan      nan
164    2342.86    1.70  112.50    0.404
164    2342.86    5.09  113.20    0.651
164    2342.86    8.48  112.53    0.939
164    2342.86   11.87  110.92    1.587
164    2342.86   15.26  101.90    3.285
164    2342.86   18.65     nan      nan
164    2342.86   22.05     nan      nan
164    2342.86   25.44     nan      nan
164    2342.86   28.83     nan      nan
164    2342.86   32.22     nan      nan
165    2357.14    1.67  112.49    0.403
165    2357.14    5.02  113.07    0.672
165    2357.14    8.36  112.87    0.919
165    2357.14   11.71  111.12    1.554
165    2357.14   15.06  102.44    3.220
165    2357.14   18.40     nan      nan
165    2357.14   21.75     nan      nan
165    2357.14   25.09     nan      nan
165    2357.14   28.44     nan      nan
165    2357.14   31.78     nan      nan
166    2371.43    1.65  112.87    0.410
166    2371.43    4.95  112.86    0.675
166    2371.43    8.24  112.83    0.938
166    2371.43   11.54  111.00    1.449
166    2371.43   14.84  103.42    3.027
166    2371.43   18.14     nan      nan
166    2371.43   21.44     nan      nan
166    2371.43   24.73     nan      nan
166    2371.43   28.03     nan      nan
166    2371.43   31.33     nan      nan
167    2385.71    1.62  112.92    0.412
167    2385.71    4.87  112.92    0.668
167    2385.71    8.12  112.87    0.907
167    2385.71   11.37  110.94    1.481
167    2385.71   14.62  104.12    2.834
167    2385.71   17.86     nan      nan
167    2385.71   21.11     nan      nan
167    2385.71   24.36     nan      nan
167    2385.71   27.61     nan      nan
167    2385.71   30.86     nan      nan
168    2400.00    1.60  113.01    0.407
168    2400.00    4.80  112.91    0.656
168    2400.00    8.00  112.68    0.933
168    2400.00   11.19  111.52    1.392
168    2400.00   14.39  105.15    2.478
168    2400.00   17.59   95.55    5.340
168    2400.00   20.79     nan      nan
168    2400.00   23.99     nan      nan
168    2400.00   27.18     nan      nan
168    2400.00   30.38     nan      nan
169    2414.29    1.57  112.95    0.406
169    2414.29    4.72  112.82    0.645
169    2414.29    7.86  112.68    0.930
169    2414.29   11.01  111.65    1.421
169    2414.29   14.16  107.17    2.079
169    2414.29   17.30   98.99    4.490
169    2414.29   20.45     nan      nan
169    2414.29   23.59     nan      nan
169    2414.29   26.74     nan      nan
169    2414.29   29.88     nan      nan
170    2428.57    1.55  112.44    0.403
170    2428.57    4.64  112.98    0.650
170    2428.57    7.73  112.57    0.904
170    2428.57   10.82  111.85    1.313
170    2428.57   13.91  107.29    2.196
170    2428.57   17.01  100.32    4.239
170    2428.57   20.10     nan      nan
170    2428.57   23.19     nan      nan
170    2428.57   26.28     nan      nan
170    2428.57   29.37     nan      nan
171    2442.86    1.52  112.50    0.404
171    2442.86    4.55  112.85    0.654
171    2442.86    7.59  112.62    0.819
171    2442.86   10.63  111.39    1.355
171    2442.86   13.66  107.59    2.216
171    2442.86   16.70  101.05    3.758
171    2442.86   19.74     nan      nan
171    2442.86   22.77     nan      nan
171    2442.86   25.81     nan      nan
171    2442.86   28.84     nan      nan
172    2457.14    1.49  112.78    0.408
172    2457.14    4.47  112.59    0.654
172    2457.14    7.46  112.73    0.779
172    2457.14   10.44  111.37    1.354
172    2457.14   13.42  107.29    2.157
172    2457.14   16.40  101.87    3.513
172    2457.14   19.38     nan      nan
172    2457.14   22.37     nan      nan
172    2457.14   25.35     nan      nan
172    2457.14   28.33     nan      nan
173    2471.43    1.46  112.71    0.407
173    2471.43    4.39  112.55    0.662
173    2471.43    7.31  112.92    0.759
173    2471.43   10.23  111.66    1.315
173    2471.43   13.16  109.03    1.895
173    2471.43   16.08  101.96    3.532
173    2471.43   19.00     nan      nan
173    2471.43   21.93     nan      nan
173    2471.43   24.85     nan      nan
173    2471.43   27.78     nan      nan
174    2485.71    1.43  113.07    0.384
174    2485.71    4.30  112.47    0.657
174    2485.71    7.16  112.96    0.795
174    2485.71   10.02  112.02    1.162
174    2485.71   12.89  109.77    1.829
174    2485.71   15.75  100.61    3.456
174    2485.71   18.61     nan      nan
174    2485.71   21.48     nan      nan
174    2485.71   24.34     nan      nan
174    2485.71   27.21     nan      nan
175    2500.00    1.40  113.16    0.381
175    2500.00    4.20  112.64    0.649
175    2500.00    6.99  112.79    0.793
175    2500.00    9.79  112.41    1.039
175    2500.00   12.59  110.07    1.839
175    2500.00   15.39  100.84    3.401
175    2500.00   18.18     nan      nan
175    2500.00   20.98     nan      nan
175    2500.00   23.78     nan      nan
175    2500.00   26.58     nan      nan
176    2514.29    1.36  112.95    0.391
176    2514.29    4.09  113.04    0.656
176    2514.29    6.82  112.64    0.785
176    2514.29    9.55  112.48    0.983
176    2514.29   12.28  110.61    1.835
176    2514.29   15.01  102.57    3.069
176    2514.29   17.73  101.19    2.943
176    2514.29   20.46     nan      nan
176    2514.29   23.19     nan      nan
176    2514.29   25.92     nan      nan
177    2528.57    1.33  113.25    0.386
177    2528.57    3.98  113.04    0.657
177    2528.57    6.64  112.71    0.784
177    2528.57    9.29  112.70    0.987
177    2528.57   11.95  111.53    1.737
177    2528.57   14.60  103.40    2.707
177    2528.57   17.26  100.19    3.109
177    2528.57   19.91     nan      nan
177    2528.57   22.56     nan      nan
177    2528.57   25.22     nan      nan
178    2542.86    1.29  113.63    0.380
178    2542.86    3.87  112.85    0.658
178    2542.86    6.45  113.08    0.748
178    2542.86    9.02  112.65    1.008
178    2542.86   11.60  112.39    1.606
178    2542.86   14.18  106.06    2.457
178    2542.86   16.76  101.10    3.326
178    2542.86   19.34     nan      nan
178    2542.86   21.91     nan      nan
178    2542.86   24.49     nan      nan
179    2557.14    1.25  113.48    0.375
179    2557.14    3.75  112.88    0.654
179    2557.14    6.25  113.27    0.726
179    2557.14    8.75  112.94    1.025
179    2557.14   11.25  113.12    1.393
179    2557.14   13.75  108.64    2.349
179    2557.14   16.25   98.31    3.214
179    2557.14   18.75     nan      nan
179    2557.14   21.24     nan      nan
179    2557.14   23.74     nan      nan
180    2571.43    1.21  113.71    0.380
180    2571.43    3.62  112.72    0.653
180    2571.43    6.04  113.41    0.714
180    2571.43    8.45  112.88    0.996
180    2571.43   10.87  112.71    1.357
180    2571.43   13.28  110.90    2.214
180    2571.43   15.70  100.79    2.736
180    2571.43   18.11     nan      nan
180    2571.43   20.53     nan      nan
180    2571.43   22.94     nan      nan
181    2585.71    1.16  113.45    0.369
181    2585.71    3.49  112.92    0.662
181    2585.71    5.81  113.24    0.724
181    2585.71    8.14  112.93    0.892
181    2585.71   10.46  112.60    1.390
181    2585.71   12.79  111.46    1.935
181    2585.71   15.12  103.02    2.529
181    2585.71   17.44   96.69    3.871
181    2585.71   19.77     nan      nan
181    2585.71   22.09     nan      nan
182    2600.00    1.12  113.83    0.369
182    2600.00    3.35  112.49    0.653
182    2600.00    5.59  113.43    0.745
182    2600.00    7.82  112.96    0.829
182    2600.00   10.06  112.79    1.288
182    2600.00   12.29  111.62    1.737
182    2600.00   14.53  104.06    2.760
182    2600.00   16.76   98.68    3.445
182    2600.00   19.00     nan      nan
182    2600.00   21.23     nan      nan
183    2614.29    1.07  113.87    0.371
183    2614.29    3.22  112.56    0.650
183    2614.29    5.36  113.09    0.742
183    2614.29    7.51  113.41    0.795
183    2614.29    9.65  112.65    1.069
183    2614.29   11.80  112.29    1.681
183    2614.29   13.94  105.57    2.823
183    2614.29   16.09   99.56    2.640
183    2614.29   18.23     nan      nan
183    2614.29   20.38     nan      nan
184    2628.57    1.08  113.81    0.370
184    2628.57    3.24  112.68    0.653
184    2628.57    5.41  113.11    0.719
184    2628.57    7.57  113.16    0.812
184    2628.57    9.73  112.88    1.089
184    2628.57   11.89  112.08    1.680
184    2628.57   14.06  104.54    3.034
184    2628.57   16.22   98.95    2.813
184    2628.57   18.38     nan      nan
184    2628.57   20.54     nan      nan
185    2642.86    1.09  114.15    0.362
185    2642.86    3.28  112.60    0.631
185    2642.86    5.47  113.25    0.701
185    2642.86    7.66  113.09    0.824
185    2642.86    9.84  113.28    1.053
185    2642.86   12.03  111.23    1.926
185    2642.86   14.22  103.11    3.046
185    2642.86   16.41  100.09    2.687
185    2642.86   18.59     nan      nan
185    2642.86   20.78     nan      nan
186    2657.14    1.10  114.18    0.366
186    2657.14    3.31  112.80    0.620
186    2657.14    5.52  112.98    0.702
186    2657.14    7.73  113.41    0.820
186    2657.14    9.93  113.10    1.072
186    2657.14   12.14  110.88    2.048
186    2657.14   14.35  102.59    2.777
186    2657.14   16.56   98.64    2.920
186    2657.14   18.77     nan      nan
186    2657.14   20.97     nan      nan
187    2671.43    1.11  115.11    0.378
187    2671.43    3.33  112.49    0.608
187    2671.43    5.54  112.67    0.699
187    2671.43    7.76  113.51    0.818
187    2671.43    9.98  112.78    1.110
187    2671.43   12.20  111.56    1.925
187    2671.43   14.41  100.80    3.133
187    2671.43   16.63   98.01    3.082
187    2671.43   18.85     nan      nan
187    2671.43   21.06     nan      nan
188    2685.71    1.11  115.21    0.377
188    2685.71    3.33  112.37    0.626
188    2685.71    5.55  112.55    0.693
188    2685.71    7.77  113.76    0.820
188    2685.71    9.99  112.45    1.099
188    2685.71   12.21  111.18    1.971
188    2685.71   14.43  101.54    3.153
188    2685.71   16.65   97.62    3.063
188    2685.71   18.87     nan      nan
188    2685.71   21.09     nan      nan
189    2700.00    1.11  114.84    0.376
189    2700.00    3.33  112.77    0.640
189    2700.00    5.54  112.54    0.706
189    2700.00    7.76  113.24    0.811
189    2700.00    9.98  112.94    1.147
189    2700.00   12.20  111.05    1.812
189    2700.00   14.42  100.01    3.300
189    2700.00   16.63  100.08    2.766
189    2700.00   18.85     nan      nan
189    2700.00   21.07     nan      nan
190    2714.29    1.10  115.07    0.380
190    2714.29    3.31  112.69    0.660
190    2714.29    5.52  112.54    0.698
190    2714.29    7.73  113.22    0.828
190    2714.29    9.93  113.01    1.177
190    2714.29   12.14  110.99    1.613
190    2714.29   14.35   98.88    3.597
190    2714.29   16.56  101.55    2.689
190    2714.29   18.76     nan      nan
190    2714.29   20.97     nan      nan
191    2728.57    1.10  115.03    0.372
191    2728.57    3.29  112.88    0.658
191    2728.57    5.48  112.40    0.698
191    2728.57    7.67  113.25    0.850
191    2728.57    9.86  113.32    1.101
191    2728.57   12.05  110.23    1.678
191    2728.57   14.24  101.49    3.448
191    2728.57   16.43  100.73    2.927
191    2728.57   18.62     nan      nan
191    2728.57   20.81     nan      nan
192    2742.86    1.09  115.28    0.380
192    2742.86    3.26  112.97    0.631
192    2742.86    5.43  112.38    0.695
192    2742.86    7.60  112.80    0.869
192    2742.86    9.77  113.47    1.047
192    2742.86   11.94  110.84    1.622
192    2742.86   14.11  101.65    3.266
192    2742.86   16.28  101.32    3.332
192    2742.86   18.45     nan      nan
192    2742.86   20.62     nan      nan
193    2757.14    1.07  116.07    0.378
193    2757.14    3.21  112.93    0.641
193    2757.14    5.36  112.31    0.677
193    2757.14    7.50  112.45    0.836
193    2757.14    9.64  113.49    1.093
193    2757.14   11.79  111.52    1.590
193    2757.14   13.93  103.01    2.642
193    2757.14   16.07  100.43    4.259
193    2757.14   18.21     nan      nan
193    2757.14   20.36     nan      nan
194    2771.43    1.06  115.57    0.381
194    2771.43    3.17  113.25    0.655
194    2771.43    5.28  112.30    0.676
194    2771.43    7.39  112.50    0.810
194    2771.43    9.50  113.14    1.080
194    2771.43   11.61  111.70    1.644
194    2771.43   13.72  103.66    2.539
194    2771.43   15.83  101.01    4.115
194    2771.43   17.94     nan      nan
194    2771.43   20.05     nan      nan
195    2785.71    1.04  114.96    0.390
195    2785.71    3.11  113.27    0.637
195    2785.71    5.18  112.59    0.703
195    2785.71    7.26  112.48    0.781
195    2785.71    9.33  113.10    1.022
195    2785.71   11.41  112.37    1.584
195    2785.71   13.48  104.89    1.922
195    2785.71   15.55   99.87    4.407
195    2785.71   17.63     nan      nan
195    2785.71   19.70     nan      nan
196    2800.00    1.01  114.26    0.380
196    2800.00    3.04  113.57    0.640
196    2800.00    5.07  112.67    0.711
196    2800.00    7.10  112.47    0.755
196    2800.00    9.13  112.94    0.979
196    2800.00   11.16  112.15    1.430
196    2800.00   13.19  107.66    2.200
196    2800.00   15.22   98.44    4.104
196    2800.00   17.25     nan      nan
196    2800.00   19.28     nan      nan
197    2814.29    1.01  114.28    0.376
197    2814.29    3.02  113.63    0.651
197    2814.29    5.03  112.65    0.697
197    2814.29    7.04  112.42    0.780
197    2814.29    9.05  113.00    0.953
197    2814.29   11.06  112.22    1.333
197    2814.29   13.07  108.88    2.225
197    2814.29   15.08   98.78    4.054
197    2814.29   17.10     nan      nan
197    2814.29   19.11     nan      nan
198    2828.57    1.01  114.23    0.374
198    2828.57    3.03  113.61    0.641
198    2828.57    5.04  112.64    0.704
198    2828.57    7.06  112.73    0.813
198    2828.57    9.08  112.68    0.990
198    2828.57   11.10  112.84    1.288
198    2828.57   13.12  109.42    2.182
198    2828.57   15.13   96.61    3.891
198    2828.57   17.15   92.93    3.938
198    2828.57   19.17     nan      nan
199    2842.86    1.01  114.03    0.374
199    2842.86    3.03  113.81    0.648
199    2842.86    5.05  112.62    0.709
199    2842.86    7.07  112.85    0.824
199    2842.86    9.09  113.02    1.001
199    2842.86   11.11  113.11    1.175
199    2842.86   13.13  108.90    2.385
199    2842.86   15.15   98.67    3.694
199    2842.86   17.17   92.99    3.615
199    2842.86   19.19     nan      nan
200    2857.14    1.01  113.96    0.384
200    2857.14    3.03  113.53    0.640
200    2857.14    5.04  112.51    0.744
200    2857.14    7.06  112.89    0.877
200    2857.14    9.08  113.52    0.960
200    2857.14   11.10  113.41    1.170
200    2857.14   13.12  108.49    2.225
200    2857.14   15.13   99.39    3.715
200    2857.14   17.15   95.48    3.345
200    2857.14   19.17     nan      nan
201    2871.43    1.00  113.58    0.374
201    2871.43    3.01  113.98    0.654
201    2871.43    5.02  112.22    0.748
201    2871.43    7.03  112.82    0.868
201    2871.43    9.04  113.44    1.010
201    2871.43   11.04  113.23    1.202
201    2871.43   13.05  109.35    2.076
201    2871.43   15.06  100.07    3.467
201    2871.43   17.07   95.66    3.395
201    2871.43   19.07     nan      nan
202    2885.71    1.00  114.02    0.368
202    2885.71    2.99  113.45    0.662
202    2885.71    4.98  112.55    0.732
202    2885.71    6.98  112.49    0.875
202    2885.71    8.97  113.34    1.011
202    2885.71   10.97  113.59    1.277
202    2885.71   12.96  111.53    1.863
202    2885.71   14.95   98.58    3.298
202    2885.71   16.95   97.85    3.181
202    2885.71   18.94     nan      nan
203    2900.00    0.99  113.68    0.363
203    2900.00    2.96  113.31    0.668
203    2900.00    4.93  112.78    0.740
203    2900.00    6.90  112.31    0.894
203    2900.00    8.88  113.40    0.991
203    2900.00   10.85  114.14    1.218
203    2900.00   12.82  110.76    1.881
203    2900.00   14.79  101.40    3.096
203    2900.00   16.77   97.74    2.672
203    2900.00   18.74     nan      nan
204    2914.29    0.97  113.87    0.363
204    2914.29    2.91  113.18    0.650
204    2914.29    4.86  112.86    0.731
204    2914.29    6.80  112.31    0.877
204    2914.29    8.74  113.11    0.968
204    2914.29   10.69  114.61    1.233
204    2914.29   12.63  112.13    1.800
204    2914.29   14.57  102.27    2.898
204    2914.29   16.52   99.19    1.837
204    2914.29   18.46     nan      nan
205    2928.57    0.95  114.18    0.362
205    2928.57    2.86  113.13    0.642
205    2928.57    4.77  112.76    0.732
205    2928.57    6.68  112.42    0.865
205    2928.57    8.59  113.02    0.953
205    2928.57   10.50  113.99    1.205
205    2928.57   12.40  113.07    1.555
205    2928.57   14.31  103.99    2.881
205    2928.57   16.22   97.63    2.154
205    2928.57   18.13     nan      nan
206    2942.86    0.94  113.78    0.357
206    2942.86    2.81  113.32    0.637
206    2942.86    4.68  112.69    0.737
206    2942.86    6.55  112.71    0.842
206    2942.86    8.42  112.72    0.918
206    2942.86   10.29  114.42    1.169
206    2942.86   12.16  112.60    1.593
206    2942.86   14.03  107.23    2.526
206    2942.86   15.90  100.07    2.203
206    2942.86   17.77     nan      nan
207    2957.14    0.94  112.98    0.368
207    2957.14    2.82  113.17    0.627
207    2957.14    4.69  112.95    0.714
207    2957.14    6.57  112.89    0.830
207    2957.14    8.45  112.59    0.956
207    2957.14   10.32  114.30    1.178
207    2957.14   12.20  111.65    1.593
207    2957.14   14.08  108.64    2.629
207    2957.14   15.95  102.72    2.237
207    2957.14   17.83     nan      nan
208    2971.43    0.98  112.57    0.369
208    2971.43    2.94  113.04    0.648
208    2971.43    4.90  113.14    0.719
208    2971.43    6.87  112.86    0.842
208    2971.43    8.83  112.87    0.969
208    2971.43   10.79  113.95    1.364
208    2971.43   12.75  111.99    1.806
208    2971.43   14.71  106.03    2.353
208    2971.43   16.68  103.82    2.547
208    2971.43   18.64     nan      nan
209    2985.71    1.02  112.33    0.368
209    2985.71    3.05  113.27    0.634
209    2985.71    5.09  112.95    0.757
209    2985.71    7.12  113.16    0.839
209    2985.71    9.16  112.56    0.992
209    2985.71   11.19  113.59    1.407
209    2985.71   13.22  110.86    1.948
209    2985.71   15.26  106.88    2.341
209    2985.71   17.29     nan      nan
209    2985.71   19.33     nan      nan
210    3000.00    1.06  111.35    0.373
210    3000.00    3.18  113.54    0.635
210    3000.00    5.30  113.01    0.761
210    3000.00    7.43  113.55    0.857
210    3000.00    9.55  112.97    1.049
210    3000.00   11.67  112.83    1.556
210    3000.00   13.79  109.76    1.885
210    3000.00   15.91  104.84    3.033
210    3000.00   18.03     nan      nan
210    3000.00   20.15     nan      nan
211    3014.29    1.09  110.99    0.390
211    3014.29    3.27  113.60    0.652
211    3014.29    5.45  113.10    0.751
211    3014.29    7.63  113.45    0.873
211    3014.29    9.81  113.59    1.084
211    3014.29   12.00  112.68    1.588
211    3014.29   14.18  108.68    2.043
211    3014.29   16.36  108.65    2.902
211    3014.29   18.54     nan      nan
211    3014.29   20.72     nan      nan
212    3028.57    1.12  111.47    0.392
212    3028.57    3.37  113.45    0.659
212    3028.57    5.62  113.12    0.763
212    3028.57    7.86  113.33    0.906
212    3028.57   10.11  114.59    1.129
212    3028.57   12.36  112.07    1.647
212    3028.57   14.60  109.18    2.100
212    3028.57   16.85  105.01    3.086
212    3028.57   19.09     nan      nan
212    3028.57   21.34     nan      nan
213    3042.86    1.16  111.54    0.394
213    3042.86    3.47  113.49    0.670
213    3042.86    5.78  113.09    0.767
213    3042.86    8.09  113.90    0.933
213    3042.86   10.40  114.10    1.131
213    3042.86   12.71  111.54    1.721
213    3042.86   15.02  109.17    2.242
213    3042.86   17.33   99.25    3.286
213    3042.86   19.64     nan      nan
213    3042.86   21.95     nan      nan
214    3057.14    1.19  111.68    0.396
214    3057.14    3.58  113.28    0.675
214    3057.14    5.96  113.17    0.772
214    3057.14    8.35  114.17    0.969
214    3057.14   10.74  113.45    1.263
214    3057.14   13.12  111.23    1.714
214    3057.14   15.51  109.11    2.374
214    3057.14   17.89   96.18    3.462
214    3057.14   20.28     nan      nan
214    3057.14   22.67     nan      nan
215    3071.43    1.22  111.12    0.405
215    3071.43    3.67  113.67    0.678
215    3071.43    6.11  113.13    0.784
215    3071.43    8.55  114.00    0.976
215    3071.43   11.00  113.30    1.279
215    3071.43   13.44  111.12    1.854
215    3071.43   15.88  108.35    2.673
215    3071.43   18.33     nan      nan
215    3071.43   20.77     nan      nan
215    3071.43   23.21     nan      nan
216    3085.71    1.25  111.18    0.415
216    3085.71    3.74  113.71    0.691
216    3085.71    6.24  113.14    0.773
216    3085.71    8.73  113.62    0.984
216    3085.71   11.22  113.14    1.330
216    3085.71   13.72  111.49    1.967
216    3085.71   16.21  105.03    2.603
216    3085.71   18.71     nan      nan
216    3085.71   21.20     nan      nan
216    3085.71   23.70     nan      nan
217    3100.00    1.27  111.12    0.421
217    3100.00    3.81  113.61    0.700
217    3100.00    6.35  113.17    0.780
217    3100.00    8.89  113.62    0.998
217    3100.00   11.43  113.60    1.315
217    3100.00   13.97  111.05    2.235
217    3100.00   16.51  103.69    2.449
217    3100.00   19.05     nan      nan
217    3100.00   21.59     nan      nan
217    3100.00   24.13     nan      nan
218    3114.29    1.29  110.75    0.417
218    3114.29    3.88  113.85    0.698
218    3114.29    6.47  113.44    0.809
218    3114.29    9.06  113.75    0.992
218    3114.29   11.65  113.99    1.327
218    3114.29   14.24  109.66    2.510
218    3114.29   16.83  102.31    2.674
218    3114.29   19.42     nan      nan
218    3114.29   22.00     nan      nan
218    3114.29   24.59     nan      nan
219    3128.57    1.32  110.81    0.405
219    3128.57    3.95  113.83    0.711
219    3128.57    6.59  113.78    0.810
219    3128.57    9.22  113.75    1.038
219    3128.57   11.85  114.42    1.208
219    3128.57   14.49  108.18    2.909
219    3128.57   17.12  101.42    2.859
219    3128.57   19.76     nan      nan
219    3128.57   22.39     nan      nan
219    3128.57   25.02     nan      nan
220    3142.86    1.34  111.46    0.415
220    3142.86    4.01  113.60    0.728
220    3142.86    6.68  113.74    0.839
220    3142.86    9.35  113.56    1.010
220    3142.86   12.02  114.48    1.346
220    3142.86   14.70  106.58    3.111
220    3142.86   17.37  100.65    2.735
220    3142.86   20.04     nan      nan
220    3142.86   22.71     nan      nan
220    3142.86   25.38     nan      nan
221    3157.14    1.35  111.65    0.419
221    3157.14    4.06  113.82    0.731
221    3157.14    6.77  113.63    0.874
221    3157.14    9.48  113.36    1.025
221    3157.14   12.18  113.97    1.448
221    3157.14   14.89  105.81    3.170
221    3157.14   17.60  101.15    2.961
221    3157.14   20.31     nan      nan
221    3157.14   23.01     nan      nan
221    3157.14   25.72     nan      nan
222    3171.43    1.37  111.69    0.420
222    3171.43    4.11  113.63    0.726
222    3171.43    6.85  113.80    0.896
222    3171.43    9.59  114.03    1.045
222    3171.43   12.33  112.53    1.579
222    3171.43   15.07  105.63    3.268
222    3171.43   17.81  102.91    3.082
222    3171.43   20.55     nan      nan
222    3171.43   23.29     nan      nan
222    3171.43   26.03     nan      nan
223    3185.71    1.38  111.74    0.424
223    3185.71    4.15  113.46    0.721
223    3185.71    6.92  114.07    0.922
223    3185.71    9.69  113.95    1.060
223    3185.71   12.46  112.70    1.665
223    3185.71   15.23  103.69    3.630
223    3185.71   18.00  102.63    3.028
223    3185.71   20.77     nan      nan
223    3185.71   23.54     nan      nan
223    3185.71   26.31     nan      nan
224    3200.00    1.40  111.86    0.420
224    3200.00    4.19  113.53    0.725
224    3200.00    6.99  113.92    0.924
224    3200.00    9.79  114.07    1.131
224    3200.00   12.58  112.06    1.726
224    3200.00   15.38  103.21    3.740
224    3200.00   18.17  102.75    3.130
224    3200.00   20.97     nan      nan
224    3200.00   23.77     nan      nan
224    3200.00   26.56     nan      nan
225    3214.29    1.41  111.96    0.426
225    3214.29    4.23  113.47    0.713
225    3214.29    7.05  113.96    0.918
225    3214.29    9.87  113.98    1.191
225    3214.29   12.68  110.55    1.789
225    3214.29   15.50  101.84    4.013
225    3214.29   18.32  103.97    3.062
225    3214.29   21.14     nan      nan
225    3214.29   23.96     nan      nan
225    3214.29   26.78     nan      nan
226    3228.57    1.42  111.40    0.421
226    3228.57    4.26  113.62    0.715
226    3228.57    7.10  114.22    0.917
226    3228.57    9.94  113.79    1.223
226    3228.57   12.78  111.46    1.866
226    3228.57   15.62   99.52    3.875
226    3228.57   18.47     nan      nan
226    3228.57   21.31     nan      nan
226    3228.57   24.15     nan      nan
226    3228.57   26.99     nan      nan
227    3242.86    1.43  111.08    0.425
227    3242.86    4.29  113.73    0.716
227    3242.86    7.15  114.45    0.912
227    3242.86   10.02  114.16    1.242
227    3242.86   12.88  111.68    1.868
227    3242.86   15.74   98.78    3.872
227    3242.86   18.60     nan      nan
227    3242.86   21.46     nan      nan
227    3242.86   24.32     nan      nan
227    3242.86   27.18     nan      nan
228    3257.14    1.44  111.12    0.430
228    3257.14    4.32  113.81    0.730
228    3257.14    7.20  114.68    0.921
228    3257.14   10.08  114.73    1.179
228    3257.14   12.96  110.60    2.062
228    3257.14   15.84   99.91    3.799
228    3257.14   18.72     nan      nan
228    3257.14   21.59     nan      nan
228    3257.14   24.47     nan      nan
228    3257.14   27.35     nan      nan
229    3271.43    1.44  111.62    0.442
229    3271.43    4.33  113.74    0.728
229    3271.43    7.22  114.51    0.917
229    3271.43   10.11  114.59    1.187
229    3271.43   13.00  110.91    2.141
229    3271.43   15.89  100.16    3.822
229    3271.43   18.78     nan      nan
229    3271.43   21.67     nan      nan
229    3271.43   24.56     nan      nan
229    3271.43   27.45     nan      nan
230    3285.71    1.45  111.86    0.437
230    3285.71    4.35  113.87    0.733
230    3285.71    7.25  114.59    0.901
230    3285.71   10.14  114.64    1.191
230    3285.71   13.04  111.14    2.238
230    3285.71   15.94   99.36    3.785
230    3285.71   18.84     nan      nan
230    3285.71   21.74     nan      nan
230    3285.71   24.64     nan      nan
230    3285.71   27.54     nan      nan
231    3300.00    1.45  111.86    0.428
231    3300.00    4.36  114.05    0.758
231    3300.00    7.26  114.75    0.866
231    3300.00   10.16  114.54    1.193
231    3300.00   13.07  110.73    2.369
231    3300.00   15.97   99.62    3.594
231    3300.00   18.87     nan      nan
231    3300.00   21.78     nan      nan
231    3300.00   24.68     nan      nan
231    3300.00   27.58     nan      nan
232    3314.29    1.45  111.89    0.422
232    3314.29    4.36  114.25    0.748
232    3314.29    7.27  114.81    0.878
232    3314.29   10.18  114.86    1.228
232    3314.29   13.08  110.78    2.246
232    3314.29   15.99   99.58    3.726
232    3314.29   18.90     nan      nan
232    3314.29   21.80     nan      nan
232    3314.29   24.71     nan      nan
232    3314.29   27.62     nan      nan
233    3328.57    1.45  112.03    0.436
233    3328.57    4.35  114.17    0.726
233    3328.57    7.25  114.66    0.892
233    3328.57   10.14  114.67    1.173
233    3328.57   13.04  111.60    2.188
233    3328.57   15.94  100.18    3.657
233    3328.57   18.84     nan      nan
233    3328.57   21.74     nan      nan
233    3328.57   24.64     nan      nan
233    3328.57   27.54     nan      nan
234    3342.86    1.44  112.15    0.437
234    3342.86    4.33  114.15    0.736
234    3342.86    7.22  114.52    0.883
234    3342.86   10.10  114.00    1.289
234    3342.86   12.99  111.57    2.071
234    3342.86   15.88  102.19    3.276
234    3342.86   18.76     nan      nan
234    3342.86   21.65     nan      nan
234    3342.86   24.54     nan      nan
234    3342.86   27.42     nan      nan
235    3357.14    1.44  112.61    0.430
235    3357.14    4.31  113.97    0.728
235    3357.14    7.19  114.33    0.890
235    3357.14   10.06  114.00    1.286
235    3357.14   12.94  111.21    2.108
235    3357.14   15.81  104.15    3.372
235    3357.14   18.69     nan      nan
235    3357.14   21.56     nan      nan
235    3357.14   24.44     nan      nan
235    3357.14   27.31     nan      nan
236    3371.43    1.43  113.08    0.427
236    3371.43    4.29  113.89    0.726
236    3371.43    7.16  114.28    0.892
236    3371.43   10.02  113.56    1.247
236    3371.43   12.88  112.88    2.016
